Product Name,Total_Sales,Total_Profit,Profit_Margin_Pct,Order_Count
Premier Automatic Letter Opener,2836.37,-427.86,-15.08,5
"Sauder Forest Hills Library with Doors, Woodland Oak Finish",1014.17,-418.55,-41.27,3
Riverside Furniture Stanwyck Manor Table Series,917.92,-415.93,-45.31,3
GBC VeloBinder Electric Binding Machine,496.02,-411.33,-82.93,4
"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",5098.18,-404.01,-7.92,6
Hon 2111 Invitation Series Corner Table,3140.55,-401.99,-12.8,4
"Iceberg OfficeWorks 42"" Round Tables",3457.44,-392.55,-11.35,7
LG G2,1499.97,-374.99,-25.0,1
Balt Split Level Computer Training Table,1040.63,-357.97,-34.4,5
"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",1623.25,-343.1,-21.14,6
Jawbone MINI JAMBOX Wireless Bluetooth Speaker,2027.3,-339.71,-16.76,5
Fellowes Officeware Wire Shelving,4509.47,-332.37,-7.37,11
"Lesro Round Back Collection Coffee Table, End Table",2847.78,-328.59,-11.54,8
Bretford Rectangular Conference Table Tops,12995.29,-327.23,-2.52,12
Euro Pro Shark Stick Mini Vacuum,170.74,-325.63,-190.71,3
"Brother MFC-9340CDW LED All-In-One Printer, Copier Scanner",341.99,-319.19,-93.33,1
Ibico Hi-Tech Manual Binding System,5398.32,-304.99,-5.65,11
Hon Rectangular Conference Tables,3481.51,-295.81,-8.5,4
Sauder Barrister Bookcases,754.73,-294.77,-39.06,3
Okidata C610n Printer,2011.9,-292.05,-14.52,2
O'Sullivan Manor Hill 2-Door Library in Brianna Oak,1646.92,-285.95,-17.36,4
"Eldon ""L"" Workstation Diamond Chairmat",1002.94,-267.45,-26.67,4
High Speed Automatic Electric Letter Opener,17030.31,-262.0,-1.54,3
Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,1200.94,-256.56,-21.36,5
Xerox WorkCentre 6505DN Laser Multifunction Printer,2519.96,-252.0,-10.0,1
Okidata B401 Printer,179.99,-251.99,-140.0,1
KI Adjustable-Height Table,4552.64,-248.48,-5.46,18
Global Low Back Tilter Chair,1746.95,-246.39,-14.1,8
Catalog Binders with Expanding Posts,1089.94,-242.21,-22.22,8
Hon 5100 Series Wood Tables,5965.09,-238.6,-4.0,7
Office Star Flex Back Scooter Chair with White Frame,1775.68,-228.62,-12.88,7
"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",763.67,-222.74,-29.17,5
Safco Industrial Wire Shelving System,2511.05,-218.35,-8.7,8
Global Deluxe Steno Chair,1770.54,-216.31,-12.22,10
Balt Solid Wood Rectangular Table,828.1,-216.25,-26.11,4
LG Exalt,1154.33,-212.15,-18.38,3
"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",3626.01,-208.65,-5.75,8
Laminate Occasional Tables,2096.17,-206.53,-9.85,3
"Premier Elliptical Ring Binder, Black",526.61,-201.51,-38.27,9
High-Back Leather Manager's Chair,4770.63,-197.58,-4.14,9
"Bevis Round Bullnose 29"" High Table Top",4544.93,-192.19,-4.23,5
Hon 4-Shelf Metal Bookcases,1474.31,-191.86,-13.01,4
"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",90.88,-190.85,-210.0,1
Chromcraft Round Conference Tables,8209.06,-189.98,-2.31,13
"Belkin 19"" Vented Equipment Shelf, Black",1400.26,-179.67,-12.83,10
"Hon 30"" x 60"" Table with Locking Drawer",1296.03,-177.35,-13.68,3
Honeywell Enviracaire Portable Air Cleaner for up to 8 x 10 Room,299.21,-177.22,-59.23,2
"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",2064.23,-173.13,-8.39,5
"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",2299.75,-172.94,-7.52,10
Epson Perfection V600 Photo Scanner,206.99,-172.49,-83.33,1
O'Sullivan Living Dimensions 3-Shelf Bookcases,2904.16,-170.83,-5.88,4
Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,3178.13,-167.27,-5.26,5
"Global Geo Office Task Chair, Gray",1757.27,-166.01,-9.45,7
Cisco 8961 IP Phone Charcoal,224.94,-164.95,-73.33,1
Bevis 44 x 96 Conference Tables,3253.22,-164.72,-5.06,5
"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",694.19,-158.49,-22.83,2
Global Deluxe High-Back Office Chair in Storm,1087.92,-149.59,-13.75,3
Hon 61000 Series Interactive Training Tables,653.12,-148.4,-22.72,9
"Bush Andora Conference Table, Maple/Graphite Gray Finish",1436.23,-143.62,-10.0,4
Novimex High-Tech Fabric Mesh Task Chair,922.74,-133.44,-14.46,4
O'Sullivan 2-Shelf Heavy-Duty Bookcases,723.84,-133.11,-18.39,6
Novimex Fabric Task Chair,1890.38,-131.11,-6.94,9
Office Star - Mesh Screen back chair with Vinyl seat,2200.46,-130.98,-5.95,7
Tenex Chairmats For Use with Hard Floors,467.71,-129.92,-27.78,6
Samsung Galaxy Note 2,4507.9,-128.8,-2.86,2
Safco Industrial Wire Shelving,1363.06,-126.71,-9.3,5
"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",5184.08,-126.44,-2.44,6
"Sauder Mission Library with Doors, Fruitwood Finish",935.2,-125.74,-13.45,3
"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",1115.64,-125.2,-11.22,9
Carina Media Storage Towers in Natural & Black,1073.25,-121.96,-11.36,5
Belkin F9S820V06 8 Outlet Surge,266.34,-120.18,-45.12,4
Cisco IP Phone 7961G-GE VoIP phone,2252.43,-119.12,-5.29,4
"Bush Birmingham Collection Bookcase, Dark Cherry",825.17,-117.88,-14.29,1
Hon 2111 Invitation Series Straight Table,2040.05,-115.31,-5.65,7
"Global Leather & Oak Executive Chair, Burgundy",1689.97,-114.68,-6.79,5
Acco 6 Outlet Guardian Premium Plus Surge Suppressor,289.46,-113.77,-39.3,6
"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",400.03,-113.26,-28.31,2
Eldon Cleatmat Plus Chair Mats for High Pile Carpets,1304.13,-111.33,-8.54,5
"Carina 42""Hx23 3/4""W Media Storage Unit",1635.8,-110.13,-6.73,8
Tennsco Industrial Shelving,1281.44,-108.58,-8.47,9
"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",1088.64,-104.83,-9.63,5
Safco Industrial Shelving,827.12,-104.13,-12.59,5
Sauder Camden County Collection Library,1368.26,-103.48,-7.56,2
Acco D-Ring Binder w/DublLock,235.18,-102.84,-43.73,9
"Bush Westfield Collection Bookcases, Dark Cherry Finish",649.38,-97.41,-15.0,3
Motorola HK250 Universal Bluetooth Headset,832.24,-91.5,-10.99,9
GBC Linen Binding Covers,207.57,-82.41,-39.7,6
"Wilson Jones Elliptical Ring 3 1/2"" Capacity Binders, 800 sheets",834.6,-82.18,-9.85,8
Sauder Cornerstone Collection Library,322.19,-81.17,-25.19,3
"Global Task Chair, Black",463.1,-80.41,-17.36,5
O'Sullivan Living Dimensions 2-Shelf Bookcases,2970.06,-78.64,-2.65,10
Eldon Executive Woodline II Cherry Finish Desk Accessories,98.14,-78.51,-80.0,2
O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,1072.34,-78.36,-7.31,2
"Sauder Camden County Collection Libraries, Planked Cherry Finish",1909.82,-78.19,-4.09,7
Sensible Storage WireTech Storage Systems,2484.3,-78.08,-3.14,8
Fellowes Command Center 5-outlet power strip,664.83,-78.02,-11.73,4
Space Solutions Commercial Steel Shelving,1952.43,-74.35,-3.81,7
Hewlett-Packard Deskjet F4180 All-in-One Color Ink-jet - Printer / copier / scanner,101.99,-71.4,-70.0,1
Rush Hierlooms Collection Rich Wood Bookcases,489.38,-70.83,-14.47,2
"Sauder Forest Hills Library, Woodland Oak Finish",1875.03,-70.49,-3.76,4
Avery Recycled Flexi-View Covers for Binding Systems,197.17,-69.57,-35.28,7
"Carina Mini System Audio Rack, Model AR050B",2730.11,-68.81,-2.52,6
GBC Plasticlear Binding Covers,68.88,-68.42,-99.33,7
"O'Sullivan Elevations Bookcase, Cherry Finish",1912.31,-68.11,-3.56,5
"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",5801.82,-66.83,-1.15,5
"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",953.82,-63.59,-6.67,6
i.Sound Portable Power - 8000 mAh,413.32,-58.82,-14.23,5
V7 USB Numeric Keypad,461.87,-58.78,-12.73,4
"Contico 72""H Heavy-Duty Storage System",598.31,-57.37,-9.59,5
Compact Automatic Electric Letter Opener,2982.75,-57.27,-1.92,8
Bush Somerset Collection Bookcase,1263.96,-56.32,-4.46,4
Fellowes Econo/Stor Drawers,581.58,-56.22,-9.67,2
OtterBox Commuter Series Case - Samsung Galaxy S4,384.85,-55.98,-14.55,4
Cisco CP-7937G Unified IP Conference Station Phone,1391.4,-55.66,-4.0,2
"Eldon Base for stackable storage shelf, platinum",872.26,-52.57,-6.03,7
iOttie XL Car Mount,223.89,-50.37,-22.5,2
Clearsounds A400,488.33,-48.83,-10.0,3
Hon Deluxe Fabric Upholstered Stacking Chairs,2586.19,-48.8,-1.89,4
Eldon Advantage Foldable Chair Mats for Low Pile Carpets,379.4,-48.78,-12.86,3
Tennsco Commercial Shelving,374.26,-48.61,-12.99,9
SanDisk Ultra 16 GB MicroSDHC Class 10 Memory Card,329.95,-48.58,-14.72,7
"Belkin 19"" Center-Weighted Shelf, Gray",849.31,-47.18,-5.56,4
"Tenex Traditional Chairmats for Hard Floors, Average Lip, 36"" x 48""",180.46,-46.4,-25.71,2
"Iris 3-Drawer Stacking Bin, Black",284.1,-43.45,-15.29,3
Eldon Cleatmat Chair Mats for Medium Pile Carpets,344.1,-42.18,-12.26,4
Office Star - Ergonomically Designed Knee Chair,1311.88,-42.11,-3.21,7
"Tenex ""The Solids"" Textured Chair Mats",1469.16,-40.58,-2.76,7
36X48 HARDFLOOR CHAIRMAT,369.25,-40.49,-10.97,6
Insertable Tab Post Binder Dividers,66.57,-39.7,-59.64,8
Bevis Round Conference Room Tables and Bases,519.94,-39.44,-7.59,2
Mediabridge Sport Armband iPhone 5s,257.74,-38.96,-15.12,7
Kensington 6 Outlet SmartSocket Surge Protector,147.53,-36.88,-25.0,2
"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",4384.04,-36.53,-0.83,7
Hon Comfortask Task/Swivel Chairs,1686.9,-36.47,-2.16,6
Rogers Deluxe File Chest,444.0,-34.73,-7.82,8
Novimex Turbo Task Chair,1341.52,-32.65,-2.43,6
"Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 30/Pack",472.86,-32.27,-6.82,4
Anker Astro Mini 3000mAh Ultra-Compact Portable Charger,147.93,-31.98,-21.62,4
Samsung Convoy 3,688.14,-31.08,-4.52,2
Macally Suction Cup Mount,279.63,-31.07,-11.11,4
Fellowes Bankers Box Recycled Super Stor/Drawer,1187.56,-30.23,-2.55,7
"GBC Standard Recycled Report Covers, Clear Plastic Sheets",258.72,-27.17,-10.5,12
"Hon Metal Bookcases, Black",1570.08,-26.97,-1.72,5
"Tennsco Lockers, Gray",402.82,-26.43,-6.56,6
"SAFCO Commercial Wire Shelving, 72h",1445.26,-24.5,-1.69,5
Anker Astro 15000mAh USB Portable Charger,599.88,-24.0,-4.0,5
GBC VeloBinder Strips,52.99,-23.81,-44.93,4
Avery Durable Slant Ring Binders,51.48,-23.76,-46.15,5
Panasonic KX MC6040 Color Laser Multifunction Printer,1619.82,-22.5,-1.39,2
Stiletto Hand Letter Openers,136.32,-21.98,-16.13,4
Plantronics Single Ear Headset,29.93,-21.95,-73.33,1
"Global Armless Task Chair, Royal Blue",1396.44,-20.73,-1.48,8
Cyber Acoustics AC-202b Speech Recognition Stereo Headset,119.51,-20.52,-17.17,5
Texas Instrument TI-15 Fraction Calculator,41.91,-20.52,-48.97,2
Space Solutions Industrial Galvanized Steel Shelving.,520.08,-20.49,-3.94,3
3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,303.36,-20.48,-6.75,4
"Bush Westfield Collection Bookcases, Medium Cherry Finish",1426.89,-20.29,-1.42,9
Accohide Poly Flexible Ring Binders,43.76,-19.82,-45.3,8
Wilson Jones Custom Binder Spines & Labels,41.34,-19.69,-47.63,7
Logitech Keyboard K120,174.24,-19.6,-11.25,3
Large Capacity Hanging Post Binders,276.94,-19.46,-7.03,5
GBC Wire Binding Strips,212.66,-18.41,-8.66,5
Speck Products Candyshell Flip Case,188.95,-18.19,-9.63,4
Fellowes Neat Ideas Storage Cubes,480.7,-18.19,-3.78,7
Anderson Hickey Conga Table Tops & Accessories,51.78,-17.51,-33.82,2
Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge,823.25,-17.03,-2.07,3
"Electrix Incandescent Magnifying Lamp, Black",117.28,-16.49,-14.06,2
Avery Reinforcements for Hole-Punch Pages,28.51,-16.14,-56.6,8
Avery Durable Poly Binders,82.95,-15.59,-18.8,6
ARKON Windshield Dashboard Air Vent Car Mount Holder,216.96,-15.59,-7.19,4
Dexim XPower Skin Super-Thin Power Case for iPhone 5 - Black,467.92,-14.62,-3.12,3
"Avery 3 1/2"" Diskette Storage Pages, 10/Pack",137.81,-14.41,-10.45,6
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",63.63,-13.91,-21.86,8
Motorola L804,607.07,-13.34,-2.2,6
XtraLife ClearVue Slant-D Ring Binders by Cardinal,72.91,-13.33,-18.28,5
GBC ProClick Spines for 32-Hole Punch,66.41,-13.28,-20.0,5
Martin-Yale Premier Letter Opener,236.99,-12.88,-5.43,7
Fellowes Bankers Box Stor/Drawer Steel Plus,1426.31,-12.79,-0.9,12
"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",119.83,-12.69,-10.59,1
Cardinal Hold-It CD Pocket,38.3,-12.45,-32.5,4
GBC Instant Index System for Binding Systems,71.93,-12.43,-17.28,5
O'Sullivan 5-Shelf Heavy-Duty Bookcases,540.8,-12.29,-2.27,4
"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",2298.11,-12.13,-0.53,9
Case Logic 2.4GHz Wireless Keyboard,1229.75,-12.0,-0.98,8
iOttie HLCRIO102 Car Mount,215.89,-11.99,-5.56,5
Gear Head AU3700S Headset,189.65,-11.95,-6.3,3
"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",102.62,-11.88,-11.58,12
GBC Personal VeloBind Strips,156.94,-11.26,-7.18,7
Dana Swing-Arm Lamps,108.94,-11.21,-10.29,7
Avaya 5410 Digital phone,625.51,-10.88,-1.74,4
Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,91.69,-10.41,-11.36,4
"Alliance Super-Size Bands, Assorted Sizes",197.61,-10.35,-5.24,4
Pressboard Hanging Data Binders for Unburst Sheets,112.67,-10.14,-9.0,10
Shocksock Galaxy S4 Armband,63.51,-10.07,-15.86,3
"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",858.86,-9.94,-1.16,6
Hoover Commercial Lightweight Upright Vacuum with E-Z Empty Dirt Cup,1023.35,-9.3,-0.91,3
"GBC Velobind Prepunched Cover Sets, Regency Series",661.94,-9.24,-1.4,7
"Wilson Jones 1"" Hanging DublLock Ring Binders",117.74,-8.55,-7.26,10
"Sauder Facets Collection Library, Sky Alder Finish",1427.68,-8.55,-0.6,4
Acco Side-Punched Conventional Columnar Pads,41.64,-7.81,-18.75,4
Eldon Shelf Savers Cubes and Bins,300.14,-7.68,-2.56,8
"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",262.75,-7.62,-2.9,6
Safco Commercial Shelving,483.7,-7.44,-1.54,5
Acco Smartsocket Color-Coded Six-Outlet AC Adapter Model Surge Protectors,448.9,-7.04,-1.57,4
Avery Hidden Tab Dividers for Binding Systems,31.59,-7.03,-22.26,7
Akro Stacking Bins,91.52,-6.94,-7.59,6
Plantronics MX500i Earset,618.48,-6.44,-1.04,7
Sterilite Show Offs Storage Containers,78.14,-6.34,-8.11,5
Tennsco Regal Shelving Units,1764.53,-6.08,-0.34,4
Telescoping Adjustable Floor Lamp,143.93,-6.0,-4.17,6
Acco Economy Flexible Poly Round Ring Binder,11.48,-5.74,-50.0,4
Revere Boxed Rubber Bands by Revere,48.01,-5.71,-11.89,6
UniKeep View Case Binders,28.85,-5.48,-18.98,5
"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",25.83,-4.92,-19.05,6
Acco Suede Grain Vinyl Round Ring Binder,38.64,-4.89,-12.66,8
"Rogers Jumbo File, Granite",317.77,-4.89,-1.54,7
Eldon 100 Class Desk Accessories,36.4,-4.85,-13.33,4
Insertable Tab Indexes For Data Binders,17.49,-4.83,-27.64,5
Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,1.62,-4.47,-275.0,1
Fellowes Black Plastic Comb Bindings,102.26,-4.42,-4.32,9
Serrated Blade or Curved Handle Hand Letter Openers,23.86,-4.11,-17.24,2
"Mead 1st Gear 2"" Zipper Binder, Asst. Colors",54.47,-3.89,-7.14,3
Sterling Rubber Bands by Alliance,19.78,-3.77,-19.05,2
Acco 6 Outlet Guardian Basic Surge Suppressor,38.27,-3.66,-9.57,2
Acme Rosewood Handle Letter Opener,43.67,-3.49,-8.0,3
Plymouth Boxed Rubber Bands by Plymouth,77.24,-3.3,-4.27,5
Carina Double Wide Media Storage Towers in Natural & Black,3028.65,-3.24,-0.11,12
"Fellowes Twister Kit, Gray/Clear, 3/pkg",182.51,-3.22,-1.76,10
GBC Standard Plastic Binding Systems Combs,55.76,-2.92,-5.24,5
"Stacking Tray, Side-Loading, Legal, Smoke",46.59,-2.87,-6.15,4
"Super Bands, 12/Pack",33.48,-2.6,-7.78,4
Hoover Commercial Lightweight Upright Vacuum,18.1,-2.51,-13.85,2
"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",269.39,-2.28,-0.85,9
Avery Self-Adhesive Photo Pockets for Polaroid Photos,143.01,-2.18,-1.52,11
PNY Rapid USB Car Charger - Black,9.59,-2.08,-21.67,1
Kingston Digital DataTraveler 8GB USB 2.0,44.03,-2.02,-4.59,3
Computer Printout Index Tabs,11.09,-2.02,-18.18,4
Storex Flexible Poly Binders with Double Pockets,10.82,-2.01,-18.54,3
Angle-D Ring Binders,39.38,-1.97,-5.0,6
Penpower WorldCard Pro Card Scanner,91.47,-1.83,-2.0,1
"Executive Impressions 14"" Contract Wall Clock with Quartz Movement",97.81,-1.78,-1.82,2
Acme Serrated Blade Letter Opener,13.99,-1.75,-12.5,2
SanDisk Cruzer 8 GB USB Flash Drive,27.17,-1.36,-5.0,1
"Executive Impressions 16-1/2"" Circular Wall Clock",58.78,-1.07,-1.82,2
Round Ring Binders,29.95,-0.92,-3.06,6
"Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""",99.8,-0.7,-0.7,6
Eldon Gobal File Keepers,348.22,-0.61,-0.17,6
"Brites Rubber Bands, 1 1/2 oz. Box",13.07,-0.51,-3.94,3
Rubber Band Ball,58.34,-0.3,-0.51,4
"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",62.95,-0.16,-0.26,4
Global Super Steno Chair,2389.9,-0.0,-0.0,7
"Avery Trapezoid Extra Heavy Duty 4"" Binders",314.55,-0.0,-0.0,4
Premier Electric Letter Opener,2641.61,-0.0,-0.0,8
